site_cliente_id,site_nombre,site_detalle,site_ubicacion
1,CBQ ADMINISTRACION,CBQ,"ALCALDE GUZMAN 0121, QUILICURA"
2,LA NUEVA YORK,CBQ,"ALCALDE GUZMAN 0121, QUILICURA"
3,OFICINA SANTIAGO,CBQ,"ALCALDE GUZMAN 0121, QUILICURA"
3,OFICINA CALAMA,CALAMA,"PARQUE INDUSTRIAL APIAC, CALAMA"
3,OFICINA ANTOFAGASTA,ANTOFAGASTA,"PIRITA 12450, G24, ANTOFAGASTA"
4,GALPON G35 CBQ,CBQ,"ALCALDE GUZMAN 0121, QUILICURA"
5,GALPON G14 CBQ,CBQ ,"ALCALDE GUZMAN 0121, QUILICURA"
6,KIMEN,KIMEN,"RUTA G-155, PARCELA 7, COLINA"
7,PUCALAN,PUCALAN,"RUTA G-155, PARCELA 3, COLINA"
8,POLO RAYEN,POLO RAYEN,"CAMINO LO PINTO, COLINA"
9,CASA MATRIZ,OFICINA ,"QUIRIHUE 295, ÑUÑOA"
9,BODEGA,BODEGA,"LAS DALIAS 2773, MACUL"
9,DUOC CASA CENTRAL,DUOC CASA CENTRAL,"ELIODORO YAÑEZ 1595, PROVIDENCIA"
9,DUOC ANTONIO VARAS,DUOC ANTONIO VARAS,"LAS DALIAS 2773, MACUL"
9,DUOC SAN CARLOS,DUOC SAN CARLOS,"CAMINO EL ALBA 12881, LAS CONDES"
9,DUOC PUENTE ALTO,DUOC PUENTE ALTO,"AV SAN CARLOS 1340, PUENTE ALTO"
9,DUOC SAN BERNARDO,DUOC SAN BERNARDO,"FREIRE 862, SAN BERNARDO"
9,DUOC PLAZA VESPUCIO,DUOC PLAZA VESPUCIO,"FROILAN ROA 7107, LA FLORIDA"
9,DUOC PLAZA OESTE,DUOC PLAZA OESTE,"AV AMERICO VESPUCIO 1501, CERRILLOS"
9,DUOC PLAZA NORTE,DUOC PLAZA NORTE,"STA ELENA HUECHURABA 1660, HUECHURABA"
9,DUOC ALONSO OVALLE,DUOC ALONSO OVALLE,"ALONSO OVALLE 1586, SANTIAGO"
9,DUOC ALAMEDA,DUOC ALAMEDA,"AV ESPAÑA 8, SANTIAGO"
9,DUOC RENCA,DUOC RENCA,"SANTA MARIA 3640, RENCA"
9,DUOC PIRQUE,DUOC PIRQUE,"ALCALDE HERNAN PRIETO 3101, PIRQUE"
9,DUOC MAIPU,DUOC MAIPU,"ESQUINA BLANCA 501, MAIPU"
9,DUOC MELIPILLA,DUOC MELIPILLA,"SERRANO 1105, MELIPILLA"
9,DUOC VALPARAISO,DUOC VALPARAISO,"BRASIL 2021, VALPARAISO"
9,DUOC QUILLOTA,DUOC QUILLOTA,"F-62 4145, QUILLOTA"
9,DUOC NACIMIENTO,DUOC NACIMIENTO,"JULIO HEMMELMANN 320, NACIMIENTO"
9,DUOC PUERTO MONTT,DUOC PUERTO MONTT,"EGAÑA 651, PUERTO MONTT"
9,DUOC VILLARRICA,DUOC VILLARRICA,"ANFION MUÑOZ 51, VILLARRICA"
9,DUOC CONCEPCION,DUOC CONCEPCION,"PAICAVI 3280, CONCEPCION"
9,DUOC ARAUCO,DUOC ARAUCO,"CAMINO CARAMPANGUE 1060, ARAUCO"
9,UAI SANTIAGO,UAI SANTIAGO,"DIAGONAL LAS TORRES 2640, PEÑALOLEN"
9,UAI VIÑA DEL MAR,UAI VIÑA DEL MAR,"PADRE HURTADO 750, VIÑA DEL MAR"
9,TMLUC,TMLUC,"LOS CONQUISTADORES 2345, PROVIDENCIA"
9,CLARO CHILE,CLARO CHILE,SIN INFO
10,AXXIOMA,AXXIOMA STGO,"NUEVA YORK 9, SANTIAGO"
10,IDL,IDL LO BOZA,"CAMINO LO BOZA 550, PUDAHUEL"
11,,,
